epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,31.4347,1.44595,4.56759,1.33177,0,0,0,0,1.61308,4.89094,1.53837,2.8e-05,2.8e-05,2.8e-05
2,64.247,1.25449,4.43265,1.22249,0,0,0,0,1.3893,4.84813,1.40898,5.9208e-05,5.9208e-05,5.9208e-05
3,88.9205,1.12468,4.13856,1.13244,0.05844,0.15385,0.14182,0.13155,1.29416,4.78003,1.31097,8.95712e-05,8.95712e-05,8.95712e-05
4,113.915,1.09832,3.77509,1.09983,0.0217,0.15385,0.14641,0.13366,1.25645,4.68753,1.22653,0.00011909,0.00011909,0.00011909
5,138.303,1.06134,3.19756,1.04356,0.5295,0.15385,0.21327,0.18271,1.21002,4.5648,1.18613,0.000147763,0.000147763,0.000147763
6,162.434,1.03202,2.60204,1.04149,0.79573,0.13177,0.22286,0.18892,1.26537,4.37216,1.19809,0.000175592,0.000175592,0.000175592
7,186.946,1.00553,2.18102,1.0437,0.94727,0.17015,0.22765,0.19361,1.29254,4.28445,1.20954,0.000202576,0.000202576,0.000202576
8,211.181,0.98311,1.95883,1.01994,0.91854,0.17265,0.30951,0.24819,1.29769,4.18808,1.21354,0.000228715,0.000228715,0.000228715
9,236.762,0.97545,1.81595,0.99899,0.87208,0.20585,0.36914,0.29572,1.33142,3.99322,1.19786,0.00025401,0.00025401,0.00025401
10,261.131,0.9722,1.72918,1.00097,0.87577,0.29519,0.38371,0.31618,1.31194,3.84253,1.19173,0.000278459,0.000278459,0.000278459
11,286.327,0.94639,1.59835,0.99771,0.82435,0.31507,0.40219,0.32943,1.31076,3.8416,1.21512,0.000302064,0.000302064,0.000302064
12,311.192,0.9277,1.49879,0.97382,0.73353,0.31722,0.45204,0.35107,1.27174,4.23504,1.19492,0.000324824,0.000324824,0.000324824
13,335.412,0.92589,1.38618,0.99069,0.65636,0.3601,0.46381,0.36259,1.24439,3.88734,1.18688,0.00033664,0.00033664,0.00033664
14,361.53,0.91817,1.34919,0.97367,0.7125,0.38041,0.48621,0.37591,1.24777,3.37482,1.20346,0.00033136,0.00033136,0.00033136
15,386.118,0.88351,1.30686,0.98414,0.70256,0.41281,0.48938,0.38702,1.17089,3.00637,1.14606,0.00032608,0.00032608,0.00032608
16,410.562,0.87449,1.21627,0.98453,0.71085,0.43691,0.5063,0.38954,1.1179,2.77931,1.07865,0.0003208,0.0003208,0.0003208
17,434.717,0.87285,1.17091,0.9882,0.78647,0.46863,0.52827,0.41409,1.1084,2.53435,1.05036,0.00031552,0.00031552,0.00031552
18,458.732,0.81879,1.10754,0.9668,0.59932,0.51797,0.55108,0.43766,1.0308,2.47742,1.05017,0.00031024,0.00031024,0.00031024
19,482.96,0.79908,1.07428,0.94916,0.60487,0.52634,0.57057,0.45382,1.045,2.51084,1.05981,0.00030496,0.00030496,0.00030496
20,506.999,0.80682,1.03386,0.93635,0.76608,0.5291,0.59878,0.47101,1.06188,2.71621,1.06838,0.00029968,0.00029968,0.00029968
21,532.348,0.83526,1.03986,0.94942,0.84746,0.50573,0.61353,0.48565,1.03572,2.94066,1.04079,0.0002944,0.0002944,0.0002944
22,556.493,0.78665,0.99341,0.95068,0.6452,0.54314,0.61638,0.48593,1.04803,2.83661,1.03384,0.00028912,0.00028912,0.00028912
23,581.232,0.78259,0.9655,0.95737,0.6444,0.64172,0.62622,0.49692,1.06542,2.61627,1.06,0.00028384,0.00028384,0.00028384
24,605.732,0.79446,0.94247,0.95453,0.63077,0.64398,0.62808,0.50536,1.00677,2.32982,1.03419,0.00027856,0.00027856,0.00027856
25,630.774,0.78567,0.95136,0.93607,0.64122,0.6395,0.63442,0.50563,0.98754,2.10831,1.00197,0.00027328,0.00027328,0.00027328
26,654.856,0.76384,0.90976,0.92574,0.63415,0.62739,0.63902,0.50583,1.06231,2.26233,1.04699,0.000268,0.000268,0.000268
27,679.011,0.76496,0.90981,0.92812,0.62586,0.65091,0.6447,0.51048,1.0333,2.26109,1.02907,0.00026272,0.00026272,0.00026272
28,703.721,0.77443,0.90022,0.93354,0.58679,0.69541,0.63304,0.50189,1.03297,2.2221,1.03976,0.00025744,0.00025744,0.00025744
29,727.855,0.76422,0.88252,0.92811,0.58596,0.68941,0.61942,0.49232,1.1571,2.245,1.14168,0.00025216,0.00025216,0.00025216
30,751.937,0.73992,0.87466,0.92392,0.66562,0.66591,0.6209,0.49041,1.09991,2.22434,1.09211,0.00024688,0.00024688,0.00024688
31,775.908,0.73624,0.86067,0.94037,0.62465,0.70582,0.63327,0.49878,1.06937,2.20779,1.07785,0.0002416,0.0002416,0.0002416
32,800.211,0.75013,0.85845,0.91812,0.64259,0.61256,0.66057,0.51567,1.04372,2.35263,1.06457,0.00023632,0.00023632,0.00023632
33,825.087,0.75143,0.83988,0.90974,0.68122,0.68462,0.66231,0.50819,1.04598,2.38636,1.04801,0.00023104,0.00023104,0.00023104
34,849.547,0.7352,0.83893,0.92993,0.72238,0.66469,0.66662,0.50907,1.05469,2.29699,1.04571,0.00022576,0.00022576,0.00022576
35,873.772,0.75635,0.85173,0.91798,0.66479,0.69337,0.6698,0.52515,1.01338,2.18873,1.03514,0.00022048,0.00022048,0.00022048
36,898.761,0.73094,0.82555,0.92249,0.66396,0.69048,0.66427,0.52152,1.00397,2.10492,1.03649,0.0002152,0.0002152,0.0002152
37,922.96,0.71882,0.79794,0.91135,0.56397,0.79853,0.67368,0.52412,1.02111,2.0572,1.03194,0.00020992,0.00020992,0.00020992
38,946.934,0.71792,0.79741,0.9001,0.62707,0.80051,0.67647,0.51842,1.09338,2.11083,1.04518,0.00020464,0.00020464,0.00020464
39,970.837,0.70842,0.77599,0.88768,0.62163,0.80409,0.68154,0.52811,1.10847,2.13946,1.06144,0.00019936,0.00019936,0.00019936
40,994.705,0.71356,0.80529,0.89438,0.62522,0.81544,0.68437,0.52912,1.09288,2.36602,1.04277,0.00019408,0.00019408,0.00019408
41,1019.23,0.70257,0.7599,0.88718,0.63943,0.80142,0.68958,0.53142,1.13489,2.49623,1.05634,0.0001888,0.0001888,0.0001888
42,1043.21,0.64509,0.73608,0.88006,0.61969,0.77328,0.69001,0.52515,1.02972,2.38346,1.01909,0.00018352,0.00018352,0.00018352
43,1067.06,0.66625,0.73858,0.90059,0.64404,0.7092,0.70074,0.53071,1.05441,2.21691,1.03463,0.00017824,0.00017824,0.00017824
44,1091.11,0.6857,0.74962,0.90676,0.70106,0.71091,0.70384,0.53516,1.06457,2.20737,1.0654,0.00017296,0.00017296,0.00017296
45,1115.17,0.63089,0.72545,0.88608,0.69868,0.769,0.70742,0.53886,1.04169,2.17082,1.05538,0.00016768,0.00016768,0.00016768
46,1140.69,0.66641,0.74032,0.9031,0.68842,0.8116,0.71041,0.54376,1.02134,2.18046,1.03614,0.0001624,0.0001624,0.0001624
47,1164.89,0.66556,0.73268,0.88383,0.69233,0.8116,0.71001,0.5485,1.00733,2.28762,1.02517,0.00015712,0.00015712,0.00015712
48,1189.64,0.62845,0.71195,0.88923,0.6833,0.82214,0.70907,0.55286,1.05117,2.31429,1.06902,0.00015184,0.00015184,0.00015184
49,1213.64,0.6643,0.72021,0.883,0.65728,0.82444,0.70686,0.54551,1.07395,2.21635,1.0852,0.00014656,0.00014656,0.00014656
50,1237.48,0.65119,0.71648,0.89952,0.6719,0.83055,0.70852,0.54332,1.07318,2.16296,1.07791,0.00014128,0.00014128,0.00014128
51,1261.33,0.62315,0.70787,0.88448,0.60927,0.80574,0.71122,0.54693,1.03216,2.09254,1.03685,0.000136,0.000136,0.000136
52,1285.71,0.64335,0.70503,0.89523,0.61509,0.8173,0.70908,0.54863,1.01131,2.1033,1.01433,0.00013072,0.00013072,0.00013072
53,1309.52,0.63942,0.69307,0.8915,0.62893,0.82363,0.7089,0.55276,1.01061,2.13103,1.01258,0.00012544,0.00012544,0.00012544
54,1333.32,0.59821,0.6646,0.88257,0.64354,0.82342,0.71007,0.54733,0.99375,2.15376,1.00822,0.00012016,0.00012016,0.00012016
55,1357.15,0.61933,0.67885,0.89053,0.61167,0.82499,0.71208,0.55214,0.98478,2.17514,1.00308,0.00011488,0.00011488,0.00011488
56,1381.11,0.61823,0.68793,0.8997,0.6717,0.82622,0.71174,0.54959,0.98484,2.24408,1.00466,0.0001096,0.0001096,0.0001096
57,1405.37,0.59625,0.65671,0.87932,0.69309,0.80679,0.71232,0.55602,0.97606,2.26144,1.00629,0.00010432,0.00010432,0.00010432
58,1430.32,0.58934,0.66952,0.87669,0.70683,0.80876,0.70638,0.55363,0.96198,2.19241,1.00193,9.904e-05,9.904e-05,9.904e-05
59,1454.26,0.61894,0.66913,0.88325,0.70563,0.83302,0.70746,0.54858,1.02241,2.14059,1.02432,9.376e-05,9.376e-05,9.376e-05
60,1478.67,0.58387,0.66322,0.87654,0.70182,0.83418,0.70635,0.54542,1.01441,2.10822,1.01173,8.848e-05,8.848e-05,8.848e-05
61,1503.02,0.60592,0.65928,0.87092,0.61564,0.82251,0.7047,0.54692,0.96262,2.11912,0.9959,8.32e-05,8.32e-05,8.32e-05
62,1526.85,0.58537,0.64009,0.87989,0.6178,0.81704,0.70325,0.55071,0.9418,2.06865,0.98642,7.792e-05,7.792e-05,7.792e-05
63,1550.83,0.60918,0.67339,0.87203,0.62863,0.8095,0.70388,0.55313,0.93598,2.01145,0.98064,7.264e-05,7.264e-05,7.264e-05
64,1574.03,0.60053,0.67545,0.86659,0.62328,0.81448,0.70433,0.55017,0.94332,1.9861,0.98076,6.736e-05,6.736e-05,6.736e-05
65,1597.58,0.56779,0.64575,0.86953,0.69856,0.82469,0.70652,0.55022,0.93727,2.00316,0.97571,6.208e-05,6.208e-05,6.208e-05
66,1620.88,0.57555,0.66115,0.85804,0.69545,0.82808,0.7049,0.55292,0.92071,2.02539,0.96884,5.68e-05,5.68e-05,5.68e-05
67,1644.13,0.59643,0.64078,0.87381,0.69506,0.83012,0.7059,0.54995,0.92296,2.03492,0.96698,5.152e-05,5.152e-05,5.152e-05
68,1667.53,0.59489,0.6584,0.86471,0.69502,0.82867,0.7073,0.55204,0.94383,2.05987,0.97068,4.624e-05,4.624e-05,4.624e-05
