epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.05499,1.67327,4.46529,1.51508,0,0,0,0,1.33786,4.31415,1.2011,1.176e-05,1.176e-05,1.176e-05
2,6.60107,1.73724,4.45339,1.5379,0.00139,0.01852,0.00098,0.00029,1.31467,4.30156,1.1856,2.88179e-05,2.88179e-05,2.88179e-05
3,8.9681,1.66816,4.41686,1.55177,0.02913,0.12037,0.02827,0.01784,1.19643,4.28761,1.1407,4.51772e-05,4.51772e-05,4.51772e-05
4,10.7303,1.5168,4.45345,1.36425,0.01971,0.16667,0.08251,0.07206,1.08024,4.28063,1.09775,6.0838e-05,6.0838e-05,6.0838e-05
5,12.4733,1.26026,4.14074,1.2922,0.01451,0.14815,0.11093,0.09533,1.05058,4.26802,1.08857,7.58003e-05,7.58003e-05,7.58003e-05
6,14.4208,1.23226,4.02262,1.19167,0.01196,0.14815,0.11512,0.10056,1.0214,4.23367,1.06662,9.0064e-05,9.0064e-05,9.0064e-05
7,16.3958,1.24552,3.90141,1.23786,0.01128,0.16667,0.14478,0.11974,0.9972,4.19627,1.05217,0.000103629,0.000103629,0.000103629
8,18.2741,1.09291,3.5249,1.16071,0.0121,0.2963,0.13661,0.1066,0.98664,4.15827,1.03987,0.000116496,0.000116496,0.000116496
9,22.1443,1.16326,3.37921,1.19978,0.01032,0.31481,0.16678,0.12707,0.94589,4.09219,1.02159,0.000128664,0.000128664,0.000128664
10,24.7974,1.05587,3.05683,1.0849,0.00973,0.31481,0.16513,0.13048,0.9467,4.0665,1.02078,0.000140133,0.000140133,0.000140133
11,26.6654,1.09936,2.81892,1.12072,1,0.08461,0.17869,0.14084,0.96495,4.02907,1.02263,0.000150904,0.000150904,0.000150904
12,28.3875,1.16726,2.52429,1.08282,1,0.0776,0.18907,0.14746,0.97761,3.99995,1.0291,0.000160977,0.000160977,0.000160977
13,30.064,1.04384,2.31123,1.04017,1,0.10404,0.18441,0.14294,1.02692,3.89939,1.03129,0.000170351,0.000170351,0.000170351
14,31.6511,1.01859,2.1178,1.00503,0.97919,0.1175,0.17875,0.13339,1.02732,3.84639,1.02679,0.000179026,0.000179026,0.000179026
15,33.3191,0.95839,1.97339,1.02788,0.9876,0.13889,0.19622,0.15395,1.08238,3.75146,1.05257,0.000187003,0.000187003,0.000187003
16,34.9251,0.89347,1.89205,1.01798,1,0.14229,0.21062,0.16392,1.11487,3.69484,1.06771,0.000194281,0.000194281,0.000194281
17,36.5741,1.03631,2.00362,1.05925,1,0.14937,0.28696,0.22292,1.13039,3.59262,1.08121,0.000200861,0.000200861,0.000200861
18,38.5502,0.91934,1.81587,1.01515,0.99799,0.1519,0.28835,0.22827,1.13436,3.53144,1.08226,0.000206742,0.000206742,0.000206742
19,40.1562,0.82097,1.62181,1.00319,0.99388,0.14871,0.2856,0.21827,1.13504,3.48083,1.07794,0.000211925,0.000211925,0.000211925
20,41.6762,0.8601,1.53398,1.03246,0.99083,0.14354,0.28629,0.22776,1.12383,3.44506,1.07997,0.000216409,0.000216409,0.000216409
21,43.2645,0.79926,1.46905,0.96788,0.98095,0.13866,0.28852,0.22555,1.13344,3.39242,1.0868,0.000220194,0.000220194,0.000220194
22,44.8508,0.83753,1.41646,0.98964,0.9759,0.13637,0.29387,0.22527,1.12766,3.33951,1.08524,0.000223281,0.000223281,0.000223281
